,Training,loss_regul,loss_recon,Validation
0,2912.2566,0,2912.2566,3381.9744
5,2708.768,0,2708.768,3159.3845
10,2554.5598,0,2554.5598,2982.589
15,2334.2566,0,2334.2566,2830.8047
20,2210.1943,0,2210.1943,2741.5825
25,2078.742,0,2078.742,2703.746
30,1978.1896,0,1978.1896,2654.1572
35,1943.6238,0,1943.6238,2615.5583
40,1849.7109,0,1849.7109,2745.0596
45,1818.8206,0,1818.8206,2614.1987
50,1765.6266,0,1765.6266,2746.3447
55,1756.5524,0,1756.5524,2559.4163
60,1654.3737,0,1654.3737,2609.4688
65,1577.3097,0,1577.3097,2539.4033
70,1709.59,0,1709.59,2593.2412
75,2015.7603,0,2015.7603,2535.344
80,1632.2418,0,1632.2418,2571.2097
85,1503.5684,0,1503.5684,2643.193
90,1430.3844,0,1430.3844,2692.7224
95,1386.6508,0,1386.6508,2686.1223
100,1346.896,0,1346.896,2714.0088
105,1308.2426,0,1308.2426,2774.2505
110,1284.663,0,1284.663,2809.7961
115,2147.9568,0,2147.9568,2753.2722
120,1654.721,0,1654.721,2196.966
125,1312.1002,0,1312.1002,2279.8757
130,1244.1869,0,1244.1869,2200.7974
135,1221.2566,0,1221.2566,2167.0122
140,1192.8999,0,1192.8999,2167.6157
145,1200.2601,0,1200.2601,2166.8562
150,1196.0836,0,1196.0836,2159.6016
155,1166.2655,0,1166.2655,2167.6157
160,1154.4192,0,1154.4192,2143.883
165,1141.4358,0,1141.4358,2165.8726
170,1121.2578,0,1121.2578,2094.9517
175,1140.7887,0,1140.7887,2158.9578
180,1081.0255,0,1081.0255,2101.0671
185,1081.7263,0,1081.7263,2102.774
190,1069.8335,0,1069.8335,2097.4788
195,1051.0525,0,1051.0525,2082.9246
200,1077.1725,0,1077.1725,2131.6091
205,1019.7955,0,1019.7955,2065.018
210,1029.9683,0,1029.9683,2066.5647
215,1021.11273,0,1021.11273,2060.6248
220,1006.3421,0,1006.3421,2969.3474
225,975.00867,0,975.00867,2051.5364
230,965.88055,0,965.88055,2775.3196
235,964.2139,0,964.2139,2795.3225
240,951.143,0,951.143,2951.6328
245,977.7789,0,977.7789,2853.1042
250,972.5763,0,972.5763,2871.145
255,931.5306,0,931.5306,2832.937
260,920.2819,0,920.2819,2063.4814
265,911.6075,0,911.6075,2022.4056
270,899.4443,0,899.4443,2836.163
275,894.1931,0,894.1931,2879.8616
280,903.8522,0,903.8522,2030.3229
285,890.5836,0,890.5836,2038.9508
290,850.5882,0,850.5882,2844.8362
295,858.27856,0,858.27856,2825.2766
300,835.84265,0,835.84265,2069.8394
305,881.32416,0,881.32416,2869.3062
310,835.9664,0,835.9664,2116.937
315,818.0875,0,818.0875,2080.688
320,818.485,0,818.485,2978.466
325,811.6776,0,811.6776,2150.7395
330,849.96814,0,849.96814,2201.144
335,809.71466,0,809.71466,2127.1868
340,763.70886,0,763.70886,2218.4224
345,778.10583,0,778.10583,2293.849
