,Training,Validation
0,4471.228,4841.664
5,4399.397,4795.8384
10,4456.3525,4835.8506
15,4333.712,4718.433
20,4368.152,4740.803
25,4432.3813,4833.0825
30,4433.0376,4792.5327
35,4060.987,4568.3496
40,3922.243,4456.841
45,3979.8416,4469.1274
50,3819.1526,4356.527
55,3753.5103,4305.2446
60,3489.1943,3788.2617
65,2886.6882,3302.6536
70,2864.9897,3296.3328
75,2649.973,3188.7805
80,2601.5076,3096.0317
85,2629.0894,3198.3591
90,2603.944,3113.2222
95,2811.15,3845.4124
100,2926.724,3420.737
105,2834.0542,3320.449
110,2812.472,3295.4033
115,2804.061,3325.3381
120,2631.6997,3229.0625
125,2791.9478,3122.6143
130,2577.6846,3149.349
135,2793.928,3228.1846
140,2601.391,3112.8186
145,2769.5942,3223.8484
150,2675.337,3234.405
155,2684.638,3156.8604
160,3241.8608,3632.5818
165,2935.0818,3398.54
170,2889.7576,3465.39
175,2768.4404,3239.6748
180,2678.034,3194.0547
185,2657.3958,3174.3726
190,2630.9187,3149.9617
195,2883.6873,3357.1394
200,2731.5376,3155.503
205,2837.7192,3313.7432
210,2740.2107,3228.221
215,2994.6406,3477.4653
220,2919.982,3466.8362
225,2850.853,3366.6243
230,2856.5034,3346.1128
235,2852.4905,3335.606
240,2834.0657,3343.0266
245,2817.8616,3367.3547
250,2816.0322,3316.9385
255,2796.1592,3302.1243
260,2758.49,3246.4268
265,2805.1829,3315.6042
270,2780.5928,3286.481
275,2755.1045,3281.8633
280,2734.9255,3229.3748
285,2786.8796,3159.0232
290,2636.6848,3108.253
295,2698.4172,3173.6787
300,2872.284,3397.854
305,2810.9517,3282.2908
310,2842.574,3345.4026
315,2772.0251,3213.572
320,2710.9836,3149.913
325,2664.057,3124.8525
330,2671.2695,3143.746
335,2610.9893,3097.3672
340,2585.7236,3084.8013
345,2725.8901,3216.6653
350,2792.2036,3230.0884
355,2646.3127,3160.315
360,2581.3623,3101.8445
365,2591.0378,3123.173
370,2751.5867,3209.2979
375,2640.1921,3147.9731
380,2601.4363,3108.5752
385,2638.46,3143.3542
390,2575.044,3090.6714
395,2573.7703,3102.858
400,2544.3606,3064.128
405,2561.9973,3095.8152
410,2565.8147,3100.239
415,2675.4478,3165.8064
420,2856.307,3251.367
425,2686.12,3486.5886
430,2633.118,3030.2192
435,2592.364,3191.68
440,2539.4058,3041.2227
445,2490.246,3066.2039
450,2445.478,3069.5642
455,2542.4683,3058.3696
460,3055.2957,3409.5022
465,2590.3074,3226.238
470,2604.175,3130.0503
475,2549.1106,3071.3381
480,2495.3096,3064.6067
485,2483.7925,3100.1577
490,2515.2961,3098.3445
495,2499.298,3115.4417
500,2385.4963,3035.2354
505,4744.741,4878.4487
510,3002.6272,3512.6533
515,2809.3374,3219.6199
520,2659.5251,3204.8103
525,2707.6343,3218.6697
530,2935.3374,3346.3765
535,2823.1226,3290.5698
540,2693.5757,3128.8135
545,2630.2783,3359.0078
550,2570.5771,3147.8416
555,2703.5376,3161.293
560,2609.8894,3184.2463
565,2535.1165,3136.9514
570,2522.9744,3179.923
575,2607.2568,3198.1953
580,2590.7437,3172.4001
585,2521.8237,3120.4822
590,2642.9504,3307.528
595,2500.4116,3114.822
600,2813.0771,3301.816
605,2741.7056,3331.49
610,2512.3875,3153.4446
615,2519.5552,3184.0747
620,2480.9714,3091.4822
625,3113.6667,3655.444
630,2924.68,3474.676
635,2908.1743,3409.04
640,2738.2554,3195.2004
645,2667.228,3295.1428
650,2767.9944,3220.2405
655,2635.9358,3166.98
660,2673.8833,3182.8596
665,2612.0322,3157.9592
670,2596.81,3131.1958
675,2613.6436,3237.8816
680,2906.2292,3380.5364
685,2800.2395,3240.0864
690,2714.9983,3257.2358
695,2704.3962,3191.1448
700,2607.6885,3129.1924
705,2542.0442,3072.9807
710,2655.3328,3184.961
715,3151.85,3514.6108
720,2642.311,3119.269
725,2585.3232,3209.8994
730,2526.2017,3181.778
735,2532.29,3186.4426
740,2449.907,3229.533
745,2501.258,4381.85
750,2434.139,3045.051
755,2512.5544,3050.0015
760,2558.1997,3053.496
765,2641.4504,3137.4639
770,2497.8906,3012.4282
775,2408.237,3112.8062
780,2519.0193,3106.5142
785,2559.0083,3072.4363
790,2533.7983,3070.659
795,2525.1565,3160.7317
800,2296.8254,3039.8125
805,4486.5405,4852.549
810,2975.7744,3499.6248
815,2830.899,3355.0283
820,2695.111,3597.421
825,2849.1897,3445.48
830,2814.4019,3352.3276
835,2798.274,3303.3274
